Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,3839,2,3,3,289,285.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,25,369,3,1,3,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,55,259,3,3,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,2399,3,5,5,0,20.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,47,2172,4,4,5,5,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,45,349,2,2,1,0,17.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,67,223,4,4,2,5,8.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,64,255,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,55,1832,5,5,1,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,35,895,3,2,3,18,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,45,209,1,1,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,30,2425,4,4,5,19,22.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,22,991,4,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,447,3,3,5,0,5.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,30,2248,5,4,5,29,11.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,11,1022,4,3,4,10,13.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,34,1709,3,2,3,4,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,62,213,1,1,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,1481,2,2,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,62,2853,5,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,37,3267,2,2,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,1124,5,5,5,0,3.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,70,817,4,2,3,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,46,175,5,5,5,5,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,53,214,5,5,4,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,61,2300,2,1,1,17,66.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,9,226,3,5,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,28,3859,5,5,5,10,6.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,32,1576,2,2,2,69,64.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,50,844,4,1,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,33,854,5,4,5,82,68.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,53,541,2,2,3,18,11.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,3121,5,5,3,1,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,56,1237,2,2,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,1998,5,4,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,51,401,4,4,1,117,97.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,22,515,5,4,5,12,3.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,48,101,4,4,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,39,2892,4,4,5,27,13.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,43,3845,5,5,4,43,47.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,32,522,3,5,3,59,43.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,25,356,2,5,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,60,1194,2,2,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,57,641,4,4,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,70,2133,2,2,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,59,89,4,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,33,1044,5,3,5,0,17.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,38,1013,5,5,5,44,12.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,7,577,5,3,5,12,38.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,54,370,4,5,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,31,1674,4,3,4,7,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,44,680,2,4,2,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,70,337,3,2,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,309,4,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,40,387,2,4,2,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,45,447,3,3,2,71,103.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,51,568,2,2,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,10,1222,4,3,4,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,46,1303,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,29,1076,3,5,3,5,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,51,163,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,39,3200,3,3,2,69,53.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,36,447,5,4,5,6,12.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,57,757,5,5,3,2,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,31,2399,4,4,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,69,209,3,5,3,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,64,315,2,3,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,38,305,5,5,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,67,2422,1,5,1,44,52.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,32,680,3,3,3,0,6.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,58,612,4,4,4,5,14.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,7,1034,5,3,4,143,121.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,50,704,2,4,2,2,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,13,612,2,3,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,34,3549,5,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,3323,5,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,37,191,3,3,3,8,45.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,41,447,4,1,4,33,26.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,54,746,5,3,5,99,101.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,33,2688,1,3,1,14,8.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,599,5,5,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,39,551,4,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,69,651,4,3,4,7,11.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,32,1864,4,3,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,36,1431,2,2,1,91,86.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,34,1068,5,5,5,0,9.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,1035,5,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,2440,3,2,3,15,9.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,49,311,1,1,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,44,1188,2,4,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,2216,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,20,325,1,4,1,5,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,36,1450,5,4,5,101,76.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,46,102,4,2,4,4,8.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,27,547,4,3,4,0,6.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,1906,4,4,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,67,1052,1,4,1,0,4.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,79,902,4,5,5,0,5.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,51,575,3,1,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,33,802,3,3,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,48,3058,4,4,3,3,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,63,1005,1,1,1,3,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,3918,1,1,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,48,3286,5,5,4,31,26.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,11,1020,5,3,5,0,7.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,228,3,4,3,9,7.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,45,3584,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,59,1105,3,3,3,23,15.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,56,134,3,3,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,10,837,3,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,8,502,2,3,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,56,1647,4,4,3,9,6.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,9,760,1,5,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,62,530,3,3,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,42,1548,5,5,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,2243,5,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,19,1075,5,5,4,157,139.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,21,109,2,2,2,0,9.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,550,2,2,2,2,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,70,1576,3,3,1,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,39,819,5,3,5,2,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,9,1107,4,1,4,16,17.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,49,2288,4,4,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,32,163,5,2,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,1121,5,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,37,2620,2,2,4,0,25.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,58,587,5,5,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,48,3277,5,5,4,11,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,1798,5,4,5,6,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,48,1046,5,5,5,0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,35,247,3,3,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,24,300,3,5,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,2475,1,4,1,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,395,2,4,2,14,6.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,63,293,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,38,282,2,2,4,94,91.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,41,835,4,1,4,78,69.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,49,1744,5,5,5,12,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,321,5,5,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,2078,4,4,3,19,56.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,19,337,2,1,2,5,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,31,1506,3,5,3,6,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,38,83,1,3,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,247,5,5,5,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,60,399,5,3,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,122,3,3,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,63,3669,5,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,31,3060,4,4,4,0,5.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,64,441,3,2,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2831,4,4,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,2909,4,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,69,363,3,3,4,0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,14,1674,3,3,3,42,91.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,57,3217,2,2,4,17,15.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,250,4,4,4,0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,47,170,4,4,2,53,62.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,51,86,4,1,4,14,1.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,39,508,5,4,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,65,748,3,5,3,5,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,36,2002,5,5,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,296,3,3,1,1,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,42,1571,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,30,2907,3,5,3,8,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,2449,4,4,3,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,70,528,3,5,3,46,71.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,33,190,2,4,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,1749,1,1,2,16,12.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,42,1072,2,2,4,18,3.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,129,4,3,4,19,25.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2982,5,4,4,2,17.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,48,354,4,4,5,15,23.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,43,422,4,4,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,57,1595,5,5,5,63,73.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,33,1066,2,3,2,51,125.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,45,308,3,3,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,57,3761,4,4,1,29,33.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,31,300,3,4,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,46,2370,5,5,3,0,4.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,41,461,5,5,3,33,27.0
1.0,0.0,1.0,1.0,0.0,0.0,1.0,36,422,4,4,4,0,8.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,59,650,5,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,31,895,5,4,5,63,65.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,45,695,4,4,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,23,373,1,3,1,1,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,3133,1,4,3,152,134.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,44,407,2,2,5,36,26.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,33,102,2,2,4,13,25.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,18,2336,4,4,4,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,1076,1,5,1,6,1.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2029,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,60,2844,5,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,21,328,3,3,3,28,41.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,32,248,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,1996,5,5,5,28,28.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,24,1609,5,3,5,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,45,253,2,3,2,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,409,2,3,2,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,42,163,3,2,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,57,3447,4,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,68,2267,2,2,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,43,3980,4,4,5,12,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,43,1028,4,4,3,75,105.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,542,5,4,5,6,4.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,48,2397,5,5,5,27,44.0
